Constituency is in resultdata but missing in constituencydata
Constituency1(super=Constituency(id=3, name=KARIMGANJ NORTH), electors=171548)
Constituency1(super=Constituency(id=103, name=AMGURI), electors=112209)
Constituency1(super=Constituency(id=58, name=TAMULPUR), electors=177932)
Constituency1(super=Constituency(id=121, name=CHABUA), electors=135872)
Constituency1(super=Constituency(id=55, name=HAJO), electors=154525)
Constituency1(super=Constituency(id=66, name=SIPAJHAR), electors=158541)
Constituency1(super=Constituency(id=5, name=BADARPUR), electors=139063)
Constituency1(super=Constituency(id=15, name=KATIGORAH), electors=160960)
Constituency1(super=Constituency(id=92, name=LUMDING), electors=182377)
Constituency1(super=Constituency(id=120, name=NAHARKATIA), electors=117877)
Constituency1(super=Constituency(id=34, name=ABHAYAPURI NORTH), electors=152197)
Constituency1(super=Constituency(id=33, name=BIJNI), electors=134595)
Constituency1(super=Constituency(id=65, name=KALAIGAON), electors=154839)
Constituency1(super=Constituency(id=29, name=KOKRAJHAR WEST (ST)), electors=159579)
Constituency1(super=Constituency(id=89, name=KALIABOR), electors=121467)
Constituency1(super=Constituency(id=86, name=NOWGONG), electors=166796)
Constituency1(super=Constituency(id=64, name=PANERY), electors=132355)
Constituency1(super=Constituency(id=73, name=TEZPUR), electors=165087)
Constituency1(super=Constituency(id=111, name=LAKHIMPUR), electors=160183)
Constituency1(super=Constituency(id=11, name=DHOLAI (SC)), electors=160525)
Constituency1(super=Constituency(id=126, name=SADIYA), electors=156619)
Constituency1(super=Constituency(id=28, name=GOSSAIGAON), electors=166083)
Constituency1(super=Constituency(id=75, name=SOOTEA), electors=159679)
Constituency1(super=Constituency(id=117, name=LAHOWAL), electors=127644)
Constituency1(super=Constituency(id=9, name=SILCHAR), electors=208866)
Constituency1(super=Constituency(id=62, name=BARAMA (ST)), electors=145645)
Constituency1(super=Constituency(id=72, name=BARCHALLA), electors=144222)
Constituency1(super=Constituency(id=96, name=KHUMTAI), electors=120648)
Constituency1(super=Constituency(id=13, name=LAKHIPUR), electors=144183)
Constituency1(super=Constituency(id=102, name=TEOK), electors=118981)
Constituency1(super=Constituency(id=112, name=DHAKUAKHANA (ST)), electors=174472)
Constituency1(super=Constituency(id=26, name=BILASIPARA WEST), electors=147741)
Constituency1(super=Constituency(id=27, name=BILASIPARA EAST), electors=185838)
Constituency1(super=Constituency(id=52, name=DISPUR), electors=357638)
Constituency1(super=Constituency(id=116, name=DIBRUGARH), electors=129214)
Constituency is in constituencydata but missing in resultdata
total constituency data 0
total result data 126
total turnout data 126
