Constituency is in resultdata but missing in constituencydata
Constituency is in constituencydata but missing in resultdata
Constituency(id=22, name=BIJNOR)
Constituency(id=86, name=HARDOI)
Constituency(id=225, name=BANSDIH)
Constituency(id=29, name=BAHJOI)
Constituency(id=364, name=CHHATA)
Constituency(id=178, name=HAINSARBAZAR (SC))
Constituency(id=344, name=PATIYALI)
Constituency(id=100, name=MOHANA)
Constituency(id=40, name=BISAULI)
Constituency(id=251, name=MARIAHU)
Constituency(id=186, name=MANIRAM)
Constituency(id=238, name=CHANDAULI (SC))
Constituency(id=105, name=SAROJINI NAGAR)
Constituency(id=229, name=ZAHOORABAD)
Constituency(id=365, name=MAT)
Constituency(id=287, name=ARYANAGAR)
Constituency(id=26, name=HASANPUR)
Constituency(id=270, name=JHUSI)
Constituency(id=33, name=MORADABAD)
Constituency(id=34, name=MORADABAD RURAL)
Constituency(id=119, name=BIRAPUR)
Constituency(id=331, name=GARAUTHA)
Constituency(id=204, name=BHATPAR RANI)
Constituency(id=375, name=IGLAS)
Constituency(id=285, name=JAHANABAD)
Constituency(id=8, name=DIDIHAT)
Constituency(id=334, name=KALPI)
Constituency(id=188, name=PANIARA)
Constituency(id=411, name=KAIRANA)
Constituency(id=393, name=KITHORE)
Constituency(id=222, name=SIAR)
Constituency(id=292, name=KALYANPUR)
Constituency(id=68, name=HAIDERABAD (SC))
Constituency(id=312, name=FARRUKHABAD)
Constituency(id=58, name=BARKHERA (SC))
Constituency(id=253, name=BAYALSI)
Constituency(id=218, name=MUBARAKPUR)
Constituency(id=67, name=MOHAMMADI (SC))
Constituency(id=350, name=JALESAR (SC))
Constituency(id=89, name=SHAHABAD)
Constituency(id=176, name=MENHDAWAL)
Constituency(id=258, name=GARWARA)
Constituency(id=7, name=BADRIKEDAR)
Constituency(id=197, name=PADRAUNA)
Constituency(id=338, name=KARHAL)
Constituency(id=116, name=RAMPURKHAS)
Constituency(id=133, name=TANDA)
Constituency(id=210, name=GOPALPUR)
Constituency(id=13, name=NAINITAL)
Constituency(id=281, name=KHAGA)
Constituency(id=388, name=GHAZIABAD)
Constituency(id=412, name=THANA BHAWAN)
Constituency(id=234, name=JAKHANIA (SC))
Constituency(id=98, name=HASANGANJ (SC))
Constituency(id=16, name=KASHIPUR)
Constituency(id=213, name=ATRAULIA)
Constituency(id=232, name=ZAMANIA)
Constituency(id=328, name=JHANSI)
Constituency(id=18, name=DHAMPUR)
Constituency(id=422, name=HARDWAR)
Constituency(id=199, name=FAZILNAGAR)
Constituency(id=77, name=SIDHAULI (SC))
Constituency(id=219, name=MUHAMMADABAD GOHNA (SC))
Constituency(id=144, name=FATEHPUR (SC))
Constituency(id=221, name=RASRA (SC))
Constituency(id=96, name=BHAGWANT NAGAR)
Constituency(id=81, name=MISRIKH)
Constituency(id=382, name=SIANA)
Constituency(id=394, name=HASTINAPUR (SC))
Constituency(id=244, name=CHIRAIGAON)
Constituency(id=152, name=BAHRAICH)
Constituency(id=44, name=BUDAUN)
Constituency(id=371, name=GANGIRI)
Constituency(id=60, name=PURANPUR)
Constituency(id=399, name=SIWALKHAS (SC))
Constituency(id=359, name=AGRA WEST (SC))
Constituency(id=187, name=SAHJANWA)
Constituency(id=30, name=CHANDAUSI (SC))
Constituency(id=387, name=DADRI)
Constituency(id=214, name=PHULPUR)
Constituency(id=377, name=KHAIR)
Constituency(id=143, name=NAWABGANJ)
Constituency(id=48, name=AONLA)
Constituency(id=277, name=ALLAHABAD WEST)
Constituency(id=424, name=DEHRA DUN)
Constituency(id=227, name=BALLIA)
Constituency(id=126, name=JAISINGHPUR)
Constituency(id=87, name=BAWAN (SC))
Constituency(id=203, name=DEORIA)
Constituency(id=65, name=DADRAUL)
Constituency(id=85, name=AHIRORI (SC))
Constituency(id=169, name=RAMNAGAR)
Constituency(id=425, name=CHAKRATA (ST))
Constituency(id=305, name=JASWANTNAGAR)
Constituency(id=101, name=LUCKNOW EAST)
Constituency(id=104, name=LUCKNOW CANTONMENT)
Constituency(id=183, name=MUNDERA BAZAR (SC))
Constituency(id=4, name=LANSDOWNE)
Constituency(id=346, name=SORON)
Constituency(id=318, name=TINDWARI)
Constituency(id=131, name=JALALPUR)
Constituency(id=189, name=PHARENDA)
Constituency(id=72, name=NIGHASAN)
Constituency(id=207, name=NATHUPUR)
Constituency(id=120, name=PATTI)
Constituency(id=145, name=RAMNAGAR)
Constituency(id=392, name=GARHMUKTESHWAR)
Constituency(id=299, name=BILHAUR (SC))
Constituency(id=337, name=KISHNI (SC))
Constituency(id=246, name=GANGAPUR)
Constituency(id=275, name=ALLAHABAD NORTH)
Constituency(id=110, name=SATAON)
Constituency(id=409, name=CHARTHAWAL (SC))
Constituency(id=401, name=BAGHPAT)
Constituency(id=416, name=DEOBAND)
Constituency(id=148, name=MAHSI)
Constituency(id=52, name=BAREILLY CITY)
Constituency(id=257, name=KHUTAHAN)
Constituency(id=369, name=SASNI (SC))
Constituency(id=400, name=KHEKRA)
Constituency(id=71, name=SRINAGAR)
Constituency(id=70, name=LAKHIMPUR)
Constituency(id=46, name=BINAWAR)
Constituency(id=243, name=VARANASI NORTH)
Constituency(id=202, name=RUDRAPUR)
Constituency(id=261, name=ROBERTSGANJ (SC))
Constituency(id=374, name=KOIL (SC))
Constituency(id=347, name=KASGANJ)
Constituency(id=134, name=AYODHYA)
Constituency(id=135, name=BIKAPUR)
Constituency(id=32, name=MORADABAD WEST)
Constituency(id=36, name=SUARTANDA)
Constituency(id=421, name=LHAKSAR)
Constituency(id=317, name=BABERU)
Constituency(id=335, name=MADHOGARH)
Constituency(id=45, name=USEHAT)
Constituency(id=303, name=LAKHNA (SC))
