Constituency is in resultdata but missing in constituencydata
Constituency is in constituencydata but missing in resultdata
Constituency(id=87, name=ANUPPUR (ST))
Constituency(id=139, name=PIPARIYA (SC))
Constituency(id=94, name=BAHORIBAND)
Constituency(id=108, name=BAIHAR (ST))
Constituency(id=197, name=GANDHWANI (ST))
Constituency(id=70, name=TEONTHAR)
Constituency(id=50, name=RAJNAGAR)
Constituency(id=52, name=BIJAWAR)
Constituency(id=134, name=TIMARNI (ST))
Constituency(id=132, name=GHODADONGRI (ST))
Constituency(id=64, name=NAGOD)
Constituency(id=95, name=PATAN)
Constituency(id=143, name=SILWANI)
Constituency(id=147, name=SIRONJ)
Constituency(id=155, name=HUZUR)
Constituency(id=36, name=KHURAI)
Constituency(id=125, name=SAUSAR)
Constituency(id=187, name=SENDHWA (S T ) (ST))
Constituency(id=73, name=MANGAWAN (SC))
Constituency(id=77, name=SIDHI)
Constituency(id=57, name=HATTA (SC))
Constituency(id=16, name=GWALIOR EAST)
Constituency(id=176, name=HARSUD (ST))
Constituency(id=6, name=MORENA)
Constituency(id=20, name=SEWDA)
Constituency(id=124, name=CHURAI)
Constituency(id=31, name=RAGHOGARH)
Constituency(id=131, name=BETUL)
Constituency(id=154, name=GOVINDPURA)
Constituency(id=212, name=NAGADA KHACHAROD)
Constituency(id=28, name=BAMORI)
Constituency(id=115, name=SEONI)
Constituency(id=123, name=AMARWARA (ST))
Constituency(id=184, name=KASRAWAD)
Constituency(id=130, name=AMLA (SC))
Constituency(id=199, name=MANAWAR (ST))
Constituency(id=194, name=THANDLA (ST))
Constituency(id=165, name=SUSNER)
Constituency(id=169, name=KALAPIPAL)
Constituency(id=152, name=BHOPAL DAKSHINA PASHCHIM)
Constituency(id=218, name=BADNAGAR)
Constituency(id=210, name=RAU)
Constituency(id=156, name=BUDHNI)
Constituency(id=172, name=HATPIPLIYA)
Constituency(id=111, name=BALAGHAT)
Constituency(id=116, name=KEOLARI)
Constituency(id=137, name=HOSHANGABAD)
Constituency(id=150, name=BHOPAL UTTAR)
Constituency(id=180, name=BURHANPUR)
Constituency(id=140, name=UDAIPURA)
Constituency(id=148, name=SHAMSHABAD)
Constituency(id=68, name=SIRMOUR)
Constituency(id=228, name=MANASA)
Constituency(id=48, name=MAHARAJPUR)
Constituency(id=21, name=BHANDER (SC))
Constituency(id=92, name=VIJAYRAGHAVGARH)
Constituency(id=110, name=PARASWADA)
Constituency(id=27, name=KOLARAS)
Constituency(id=2, name=VIJAYPUR)
Constituency(id=182, name=BADWAHA)
Constituency(id=85, name=JAITPUR (ST))
Constituency(id=136, name=SEONI MALWA)
Constituency(id=167, name=SHAJAPUR)
Constituency(id=138, name=SOHAGPUR)
Constituency(id=127, name=PARASIYA (SC))
Constituency(id=193, name=JHABUA (ST))
Constituency(id=149, name=BERASIA (SC))
Constituency(id=112, name=WARASEONI)
Constituency(id=67, name=RAMPUR BAGHELAN)
Constituency(id=82, name=DHOUHANI (ST))
Constituency(id=216, name=UJJAIN NORTH)
total constituency data 225
total result data 2
total turnout data 225
